N�mero;Fuero;Nombre;Tipo de ente;Direcci�n;Localidad;Departamento judicial;Tel�fono;Latitud;Longitud
1334;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 2;FISCALIA;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;424933;-36.7817692;-59.86559762
1359;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 22 - ESTUPEFACIENTES Y TRATA;FISCALIA;BELGRANO 463;AZUL;AZUL;435629;-36.7770439;-59.86182852
1424;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 6;FISCALIA;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;424933;-36.7817692;-59.86559762
1462;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 9;FISCALIA;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;435518 int: 237-366-351-352;-36.7817692;-59.86559762
1679;CIVIL Y COMERCIAL;UNIDAD FUNCIONAL DE DEFENSA CIVIL 3;DEFENSORIA;DE PAULA 838;AZUL;AZUL;424876 int: 393;-36.7812207;-59.865732
1693;PENAL;UNIDAD FUNCIONAL DE DEFENSA PENAL 1;DEFENSORIA;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;424876 int: 246/247/362;-36.7817692;-59.86559762
1699;PENAL;UNIDAD FUNCIONAL DE DEFENSA PENAL 2;DEFENSORIA;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;424876 int: 246/247/362;-36.7817692;-59.86559762
1707;PENAL;UNIDAD FUNCIONAL DE DEFENSA PENAL 4;DEFENSORIA;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;424876 int: 246/247/362;-36.7817692;-59.86559762
1711;PENAL;UNIDAD FUNCIONAL DE DEFENSA PENAL 5;DEFENSORIA;AVENIDA PRESIDENTE PERON 525;AZUL;AZUL;424876 int: 246/247/362;-36.7817692;-59.86559762
1713;PENAL;UNIDAD FUNCIONAL DE DEFENSA PENAL 6;DEFENSORIA;DE PAULA 838;AZUL;AZUL;424876 int: 412/415;-36.761512;-59.842234
64;PENAL;AYUDANTIA FISCAL - BENITO JUAREZ;AYUDANTIA FISCAL;ALMIRANTE BROWN 227;BENITO JUAREZ;AZUL;451938;-37.6694814;-59.80760732
222;PENAL;CASA DE JUSTICIA;CASA DE JUSTICIA;GUEMES 8;BENITO JUAREZ;AZUL;454942;-37.6719534;-59.80649032
640;PAZ;JUZGADO DE PAZ;JUZGADO;URQUIZA 24;BENITO JUAREZ;AZUL;452280;-37.6730065;-59.80438632
67;PENAL;AYUDANTIA FISCAL - BOLIVAR;AYUDANTIA FISCAL;BALCARCE 144;BOLIVAR;AZUL;426844;-36.2317808;-61.1097352
223;PENAL;CASA DE JUSTICIA;CASA DE JUSTICIA;LAS HERAS 44;BOLIVAR;AZUL;421539;-36.2317753;-61.11351252
642;PAZ;JUZGADO DE PAZ;JUZGADO;BALCARCE 158;BOLIVAR;AZUL;428395;-36.2317808;-61.1097352
1315;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 15;FISCALIA;BALCARCE 144;BOLIVAR;AZUL;426844;-36.2317808;-61.1097352
224;PENAL;CASA DE JUSTICIA;CASA DE JUSTICIA;PRESIDENTE PERON 771;GENERAL ALVEAR;AZUL;4480115;-36.0213248;-60.01325012
398;PENAL;JUZGADO DE EJECUCION 2;JUZGADO;SARMIENTO 1100;GENERAL ALVEAR;AZUL;481081 int: 102-103;-36.024136;-60.01440882
643;PAZ;JUZGADO DE PAZ;JUZGADO;SARMIENTO 839;GENERAL ALVEAR;AZUL;481018;-36.0215688;-60.01415292
1354;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 20;FISCALIA;AVENIDA YRIGOYEN 870;GENERAL ALVEAR;AZUL;481925;-36.0223799;-60.01219222
99;PENAL;AYUDANTIA FISCAL - GENERAL LAMADRID;AYUDANTIA FISCAL;RODRIGUEZ PE�A 522;GENERAL LAMADRID;AZUL;420512;-37.247211;-61.263827
644;PAZ;JUZGADO DE PAZ;JUZGADO;LAVALLE 532;GENERAL LAMADRID;AZUL;420134;-37.2501209;-61.26020632
107;PENAL;AYUDANTIA FISCAL - LAPRIDA;AYUDANTIA FISCAL;AV. SAN MARTIN Y JUAN XXIII;LAPRIDA;AZUL;420015;-37.540179;-60.795117
645;PAZ;JUZGADO DE PAZ;JUZGADO;AVENIDA SAN MART�N 1018;LAPRIDA;AZUL;420160;-37.548044;-60.804843
108;PENAL;AYUDANTIA FISCAL - LAS FLORES;AYUDANTIA FISCAL;FALUCHO 10;LAS FLORES;AZUL;444283;-36.0148215;-59.098895
646;PAZ;JUZGADO DE PAZ;JUZGADO;AVENIDA SAN MARTIN 722;LAS FLORES;AZUL;452200;-36.0148215;-59.098895
2;PENAL;ASESORIA DE INCAPACES;ASESORIA DE INCAPACES;RUFINO FAL 2943;OLAVARRIA;AZUL;445581;-36.885425;-60.309452
139;PENAL;AYUDANTIA FISCAL DE ESTUPEFACIENTES - OLAVARRIA;AYUDANTIA FISCAL;RUFINO FAL 2943;OLAVARRIA;AZUL;445581;-36.885425;-60.309452
415;FAMILIA;JUZGADO DE FAMILIA 1;JUZGADO;GENERAL PAZ 2661;OLAVARRIA;AZUL;426871;-36.893547;-60.324334
504;PENAL;JUZGADO DE GARANTIAS 1;JUZGADO;RUFINO FAL 2943;OLAVARRIA;AZUL;428341 int: 37-522-523;-36.885425;-60.309452
525;PENAL;JUZGADO DE GARANTIAS 2;JUZGADO;RUFINO FAL 2943;OLAVARRIA;AZUL;428304 int: 37555.37558;-36.885425;-60.309452
743;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 1;JUZGADO;RUFINO FAL 2943;OLAVARRIA;AZUL;424421 int: 37511;-36.885425;-60.309452
774;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 2;JUZGADO;RUFINO FAL 2946;OLAVARRIA;AZUL;423977 int: 37502;-36.885407;-60.309409
951;PENAL;JUZGADO EN LO CORRECCIONAL 1;JUZGADO;RUFINO FAL 2943;OLAVARRIA;AZUL;426033;-36.885425;-60.309452
1030;PENAL;OFICINA DE RESOLUCION ALTERNATIVA DE CONFLICTOS - ATENCION A LA VICTIMA;OFICINA DE RESOLUCION ALTERNATIVA DE CONFLICTOS;RUFINO FAL 2943;OLAVARRIA;AZUL;445581;-36.885425;-60.309452
1074;LABORAL;TRIBUNAL DEL TRABAJO;TRIBUNAL;CORONEL SUAREZ 2636;OLAVARRIA;AZUL;442278;-36.894191;-60.325512
1285;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 10;FISCALIA;RUFINO FAL 2943;OLAVARRIA;AZUL;445581;-36.885425;-60.309452
1329;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 19;FISCALIA;RUFINO FAL 2943;OLAVARRIA;AZUL;445581;-36.885425;-60.309452
1400;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 4 ;FISCALIA;RUFINO FAL 2943;OLAVARRIA;AZUL;445581;-36.885425;-60.309452
1418;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 5 - JUICIOS Y DELITOS CARCELARIOS;FISCALIA;RUFINO FAL 2943;OLAVARRIA;AZUL;445581;-36.885425;-60.309452
1439;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 7;FISCALIA;RUFINO FAL 2943;OLAVARRIA;AZUL;445581;-36.885425;-60.309452
1505;PENAL;UNIDAD FUNCIONAL DE DEFENSA 1;DEFENSORIA;RUFINO FAL 2943;OLAVARRIA;AZUL;425612;-36.885425;-60.309452
1555;PENAL;UNIDAD FUNCIONAL DE DEFENSA 2;DEFENSORIA;RUFINO FAL 2943;OLAVARRIA;AZUL;428347;-36.885425;-60.309452
1583;PENAL;UNIDAD FUNCIONAL DE DEFENSA 3;DEFENSORIA;RUFINO FAL 2943;OLAVARRIA;AZUL;428347;-36.885425;-60.309452
1615;CIVIL Y COMERCIAL;UNIDAD FUNCIONAL DE DEFENSA 4 CIVIL;DEFENSORIA;RUFINO FAL 2943;OLAVARRIA;AZUL;428347;-36.885425;-60.309452
126;PENAL;AYUDANTIA FISCAL - RAUCH;AYUDANTIA FISCAL;GARRALDA Y DEL VALLE;RAUCH;AZUL;449016;-36.7740621;-59.09033592
647;PAZ;JUZGADO DE PAZ;JUZGADO;BOLIVAR 56;RAUCH;AZUL;442745;-36.775654;-59.088575
42;PENAL;ASESORIA DE INCAPACES 3;ASESORIA DE INCAPACES;IRIGOYEN 918;TANDIL;AZUL;4442851;-37.322939;-59.140402
140;PENAL;AYUDANTIA FISCAL DE ESTUPEFACIENTES - TANDIL;AYUDANTIA FISCAL;9 DE JULIO 355;TANDIL;AZUL;4426218;-37.328891;-59.133337
252;PENAL;CENTRO DE ASISTENCIA A LA VICTIMA;CENTRO DE ASISTENCIA A LA VICTIMA;SAN MARTIN 931;TANDIL;AZUL;440001;-37.3244299;-59.13191512
284;CIVIL Y COMERCIAL;CURADURIA OFICIAL - TANDIL;CURADURIA OFICIAL;9 DE JULIO 1194;TANDIL;AZUL;4443560;-37.3188406;-59.13965112
416;FAMILIA;JUZGADO DE FAMILIA 1;JUZGADO;IRIGOYEN 857;TANDIL;AZUL;4445313;-37.323809;-59.139738
505;PENAL;JUZGADO DE GARANTIAS 1;JUZGADO;URIBURU SUR 750;TANDIL;AZUL;4432089 int: 38263;-37.316211;-59.140087
526;PENAL;JUZGADO DE GARANTIAS 2;JUZGADO;URIBURU SUR 750;TANDIL;AZUL;4442347 int: 38229;-37.316211;-59.140087
584;PENAL;JUZGADO DE GARANTIAS DEL JOVEN 1;JUZGADO;BELGRANO 629;TANDIL;AZUL;4442348;-37.328787;-59.134769
742;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 1;JUZGADO;SAN MARTIN 596;TANDIL;AZUL;4425788 int: 38126;-37.326379;-59.136957
773;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 2;JUZGADO;SAN MARTIN 596;TANDIL;AZUL;4428012 int: 38107;-37.326379;-59.136957
581;PENAL;JUZGADO DE GARANTIAS DEL JOVEN 1;JUZGADO;25 DE MAYO 146;SAN NICOLAS;SAN NICOL�S;4451974;-33.333519;-60.214197
950;PENAL;JUZGADO EN LO CORRECCIONAL 1;JUZGADO;URIBURU SUR 750;TANDIL;AZUL;4442344;-37.316211;-59.140087
1075;LABORAL;TRIBUNAL DEL TRABAJO;TRIBUNAL;URIBURU SUR 750;TANDIL;AZUL;4422992 int: 38248/38251;-37.316211;-59.140087
1112;PENAL;TRIBUNAL EN LO CRIMINAL 1;TRIBUNAL;ALEM 1400;TANDIL;AZUL;4432080;-37.3154727;-59.14181792
1302;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 12;FISCALIA;URIBURU SUR 750;TANDIL;AZUL;4423147;-37.316211;-59.140087
1319;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 16;FISCALIA;URIBURU SUR 750;TANDIL;AZUL;4423147;-37.316211;-59.140087
1327;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 18 - RESPONSABILIDAD JUVENIL;FISCALIA;9 DE JULIO 355;TANDIL;AZUL;4438144;-37.328891;-59.133337
1356;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 21;FISCALIA;URIBURU SUR 750;TANDIL;AZUL;4423147;-37.316211;-59.140087
1368;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 3;FISCALIA;URIBURU SUR 750;TANDIL;AZUL;4423147;-37.316211;-59.140087
1451;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 8;FISCALIA;URIBURU SUR 750;TANDIL;AZUL;4423147;-37.316211;-59.140087
1483;PENAL;UNIDAD FUNCIONAL DE DEFENSA - FUERO RESPONSABILIDAD PENAL JUVENIL;DEFENSORIA;9 DE JULIO 355;TANDIL;AZUL;4438144;-37.328891;-59.133337
1506;PENAL;UNIDAD FUNCIONAL DE DEFENSA 1;DEFENSORIA;9 DE JULIO 1194;TANDIL;AZUL;434662;-37.3188406;-59.13965112
1556;PENAL;UNIDAD FUNCIONAL DE DEFENSA 2;DEFENSORIA;ALEM 1400;TANDIL;AZUL;4425786;-37.3154727;-59.14181792
1584;PENAL;UNIDAD FUNCIONAL DE DEFENSA 3;DEFENSORIA;ALEM 1400;TANDIL;AZUL;4442346;-37.3154727;-59.14181792
648;PAZ;JUZGADO DE PAZ;JUZGADO;9 DE JULIO 349;TAPALQUE;AZUL;420027;-36.354301;-60.028638
8;PENAL;ASESORIA DE INCAPACES 1;ASESORIA DE INCAPACES;ALSINA 15;BAHIA BLANCA;BAHIA BLANCA;4527710;-38.71872;-62.264945
27;PENAL;ASESORIA DE INCAPACES 2;ASESORIA DE INCAPACES;ALSINA 15;BAHIA BLANCA;BAHIA BLANCA;4527710;-38.71872;-62.264945
43;PENAL;ASESORIA DE INCAPACES 3;ASESORIA DE INCAPACES;ALSINA 15;BAHIA BLANCA;BAHIA BLANCA;4527710;-38.71872;-62.264945
85;PENAL;AYUDANTIA FISCAL - ESTUPEFACIENTES;AYUDANTIA FISCAL;MORENO 25;BAHIA BLANCA;BAHIA BLANCA;4500226;-38.7177986;-62.2680729
166;CIVIL Y COMERCIAL;CAMARA DE APELACION EN LO CIVIL Y COMERCIAL SALA 1;CAMARA;ESTOMBA 34 PISO 5;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 32511;-38.7176655;-62.26699032
174;CIVIL Y COMERCIAL;CAMARA DE APELACION EN LO CIVIL Y COMERCIAL SALA 2;CAMARA;ESTOMBA 34 PISO 5;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 32508-32551;-38.7176655;-62.26699032
202;PENAL;CAMARA DE APELACION Y GARANTIAS EN LO PENAL SALA 1;CAMARA;ESTOMBA 34 PISO 4;BAHIA BLANCA;BAHIA BLANCA;4009618 int: 32419;-38.7176655;-62.26699032
208;PENAL;CAMARA DE APELACION Y GARANTIAS EN LO PENAL SALA 2;CAMARA;ESTOMBA 34 PISO 4;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 32427;-38.7176655;-62.26699032
253;PENAL;CENTRO DE ASISTENCIA A LA VICTIMA;CENTRO DE ASISTENCIA A LA VICTIMA;MORENO 25;BAHIA BLANCA;BAHIA BLANCA;4500226;-38.7177986;-62.2680729
273;CIVIL Y COMERCIAL;CURADURIA OFICIAL;CURADURIA OFICIAL;SOLER 31;BAHIA BLANCA;BAHIA BLANCA;4526890;-38.7162866;-62.26352182
306;PENAL;DEFENSORIA GENERAL;DEFENSORIA;LAS HERAS 57;BAHIA BLANCA;BAHIA BLANCA;4516402;-38.7200752;-62.26237382
355;PENAL;FISCALIA GENERAL;FISCALIA;GORRITI Y VIEYTES;BAHIA BLANCA;BAHIA BLANCA;4553646;-38.7174111;-62.27168962
390;PENAL;JUZGADO DE EJECUCION 1;JUZGADO;AVENIDA COLON 46 PISO 2;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 33222-33223;-38.7189923;-62.2673622
399;PENAL;JUZGADO DE EJECUCION 2;JUZGADO;AVENIDA COLON 46 PISO 6;BAHIA BLANCA;BAHIA BLANCA;4009600;-38.7189923;-62.2673622
417;FAMILIA;JUZGADO DE FAMILIA 1;JUZGADO;AVENIDA COLON 46 PISO 4;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 33411;-38.7189923;-62.2673622
440;FAMILIA;JUZGADO DE FAMILIA 2;JUZGADO;AVENIDA COLON 46 PISO 1;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 33258;-38.7189923;-62.2673622
458;FAMILIA;JUZGADO DE FAMILIA 3;JUZGADO;AVENIDA COLON 46 PISO 3;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 33330;-38.7189923;-62.2673622
506;PENAL;JUZGADO DE GARANTIAS 1;JUZGADO;AVENIDA COLON 46 PISO 2;BAHIA BLANCA;BAHIA BLANCA;4528533 int: 33202;-38.7189923;-62.2673622
527;PENAL;JUZGADO DE GARANTIAS 2;JUZGADO;AVENIDA COLON 46 PISO 8;BAHIA BLANCA;BAHIA BLANCA;4528539 int: 33205;-38.7189923;-62.2673622
543;PENAL;JUZGADO DE GARANTIAS 3;JUZGADO;AVENIDA COLON 46 PISO 2;BAHIA BLANCA;BAHIA BLANCA;4523579 int: 33225-33228;-38.7189923;-62.2673622
556;PENAL;JUZGADO DE GARANTIAS 4;JUZGADO;AVENIDA COLON 46 PISO 6;BAHIA BLANCA;BAHIA BLANCA;4528145 int: 33278;-38.7189923;-62.2673622
585;PENAL;JUZGADO DE GARANTIAS DEL JOVEN 1;JUZGADO;CORRIENTES 110;BAHIA BLANCA;BAHIA BLANCA;4565120 int: 35315--35319;-38.7132879;-62.25818052
601;PENAL;JUZGADO DE GARANTIAS DEL JOVEN 2;JUZGADO;CORRIENTES 110;BAHIA BLANCA;BAHIA BLANCA;4563600;-38.7132879;-62.25818052
617;PENAL;JUZGADO DE LA RESPONSABILIDAD PENAL JUVENIL 1;JUZGADO;CORRIENTES 110;BAHIA BLANCA;BAHIA BLANCA;4565112 int: 35314;-38.7132879;-62.25818052
625;PENAL;JUZGADO DE LA RESPONSABILIDAD PENAL JUVENIL 2;JUZGADO;CORRIENTES 110;BAHIA BLANCA;BAHIA BLANCA;4565128 int: 35320;-38.7132879;-62.25818052
744;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 1;JUZGADO;ESTOMBA 34 PISO 1;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 32102;-38.7176655;-62.26699032
775;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 2;JUZGADO;ESTOMBA 34 PISO 2;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 32201;-38.7176655;-62.26699032
791;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 3;JUZGADO;ESTOMBA 34 PISO 1;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 32107;-38.7176655;-62.26699032
803;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 4;JUZGADO;ESTOMBA 34 PISO 4;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 32401;-38.7176655;-62.26699032
813;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 5;JUZGADO;ESTOMBA 34 PISO 1;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 32126;-38.7176655;-62.26699032
820;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 6;JUZGADO;ESTOMBA 34 PISO 2;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 32215;-38.7176655;-62.26699032
826;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 7;JUZGADO;ESTOMBA 34;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 32117;-38.7176655;-62.26699032
832;CIVIL Y COMERCIAL;JUZGADO DE PRIMERA INSTANCIA EN LO CIVIL Y COMERCIAL 8;JUZGADO;ESTOMBA 34 PISO 4;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 32408;-38.7176655;-62.26699032
847;CONTENCIOSO ADMINISTRATIVO;JUZGADO DE PRIMERA INSTANCIA EN LO CONTENCIOSO ADMINISTRATIVO 1;JUZGADO;GUEMES 112;BAHIA BLANCA;BAHIA BLANCA;4525609 int: 33031;-38.7198594;-62.27089592
952;PENAL;JUZGADO EN LO CORRECCIONAL 1;JUZGADO;ESTOMBA 34 PISO 3;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 32303;-38.7176655;-62.26699032
967;PENAL;JUZGADO EN LO CORRECCIONAL 2;JUZGADO;ESTOMBA 34 PISO 3;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 32304;-38.7176655;-62.26699032
989;PENAL;JUZGADO EN LO CORRECCIONAL 4;JUZGADO;AVENIDA COLON 46 PISO 5;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 33510;-38.7189923;-62.2673622
1006;PENAL;JUZGADO EN LO CORRECCIONAL3;JUZGADO;ESTOMBA 34 PISO 2;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 32223;-38.7176655;-62.26699032
1009;PENAL;OFICINA DE RESOLUCION ALTERNATIVA DE CONFLICTOS;OFICINA DE RESOLUCION ALTERNATIVA DE CONFLICTOS;MORENO 25;BAHIA BLANCA;BAHIA BLANCA;4500226;-38.7177986;-62.2680729
1086;LABORAL;TRIBUNAL DEL TRABAJO 1;TRIBUNAL;SARMIENTO 32;BAHIA BLANCA;BAHIA BLANCA;4565177;-38.7169577;-62.26698222
1093;LABORAL;TRIBUNAL DEL TRABAJO 2;TRIBUNAL;SARMIENTO 32;BAHIA BLANCA;BAHIA BLANCA;4565190 int: 34422;-38.7169577;-62.26698222
1113;PENAL;TRIBUNAL EN LO CRIMINAL 1;TRIBUNAL;ESTOMBA 34 PISO 3;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 32307;-38.7176655;-62.26699032
1127;PENAL;TRIBUNAL EN LO CRIMINAL 2;TRIBUNAL;ESTOMBA 34 PISO 3;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 32315 - 32325;-38.7176655;-62.26699032
1138;PENAL;TRIBUNAL EN LO CRIMINAL 3;TRIBUNAL;ESTOMBA 34 PISO 3;BAHIA BLANCA;BAHIA BLANCA;4009600 int: 32306/32214;-38.7176655;-62.26699032
1264;PENAL;UNIDAD FISCAL DE INVESTIGACION Y JUICIO 1;FISCALIA;ESTOMBA 127;BAHIA BLANCA;BAHIA BLANCA;4591700;-38.7172074;-62.26777062
